datetime,zone,carbon,updatedAt,createdAt,emissionFactorType,isEstimated,estimationMethod,hour,dayofweek
2025-09-16 16:00:00+00:00,US-MIDW-MISO,533,2025-10-01T17:31:34.277Z,2025-09-13T16:10:35.962Z,lifecycle,False,,16,1
2025-09-16 17:00:00+00:00,US-MIDW-MISO,535,2025-10-01T17:31:34.299Z,2025-09-13T17:10:50.832Z,lifecycle,False,,17,1
2025-09-16 18:00:00+00:00,US-MIDW-MISO,539,2025-10-05T00:13:59.768Z,2025-09-13T18:10:52.825Z,lifecycle,False,,18,1
2025-09-16 19:00:00+00:00,US-MIDW-MISO,537,2025-10-05T00:13:47.404Z,2025-09-13T19:11:31.606Z,lifecycle,False,,19,1
2025-09-16 20:00:00+00:00,US-MIDW-MISO,533,2025-10-05T00:13:47.090Z,2025-09-13T20:12:21.219Z,lifecycle,False,,20,1
2025-09-16 21:00:00+00:00,US-MIDW-MISO,535,2025-10-05T00:13:47.090Z,2025-09-13T21:11:06.530Z,lifecycle,False,,21,1
2025-09-16 22:00:00+00:00,US-MIDW-MISO,554,2025-10-05T00:13:59.768Z,2025-09-13T22:10:53.041Z,lifecycle,False,,22,1
2025-09-16 23:00:00+00:00,US-MIDW-MISO,581,2025-10-05T00:13:59.768Z,2025-09-13T23:10:52.071Z,lifecycle,False,,23,1
2025-09-17 00:00:00+00:00,US-MIDW-MISO,590,2025-10-05T00:13:47.090Z,2025-09-14T00:12:29.273Z,lifecycle,False,,0,2
2025-09-17 01:00:00+00:00,US-MIDW-MISO,584,2025-10-01T17:31:34.450Z,2025-09-14T01:12:40.817Z,lifecycle,False,,1,2
2025-09-17 02:00:00+00:00,US-MIDW-MISO,573,2025-10-01T17:31:34.299Z,2025-09-14T02:10:56.700Z,lifecycle,False,,2,2
2025-09-17 03:00:00+00:00,US-MIDW-MISO,574,2025-10-01T17:31:34.450Z,2025-09-14T03:12:03.741Z,lifecycle,False,,3,2
2025-09-17 04:00:00+00:00,US-MIDW-MISO,560,2025-10-01T17:31:34.450Z,2025-09-14T04:10:34.875Z,lifecycle,False,,4,2
2025-09-17 05:00:00+00:00,US-MIDW-MISO,544,2025-10-01T17:31:48.069Z,2025-09-14T05:10:36.483Z,lifecycle,False,,5,2
2025-09-17 06:00:00+00:00,US-MIDW-MISO,524,2025-10-05T00:13:47.404Z,2025-09-14T06:10:33.745Z,lifecycle,False,,6,2
2025-09-17 07:00:00+00:00,US-MIDW-MISO,517,2025-10-01T17:31:34.450Z,2025-09-14T07:10:47.584Z,lifecycle,False,,7,2
2025-09-17 08:00:00+00:00,US-MIDW-MISO,524,2025-10-01T17:31:48.041Z,2025-09-14T08:11:17.791Z,lifecycle,False,,8,2
2025-09-17 09:00:00+00:00,US-MIDW-MISO,550,2025-10-01T17:31:34.450Z,2025-09-14T09:10:53.650Z,lifecycle,False,,9,2
2025-09-17 10:00:00+00:00,US-MIDW-MISO,584,2025-10-01T17:31:48.041Z,2025-09-14T10:11:35.149Z,lifecycle,False,,10,2
2025-09-17 11:00:00+00:00,US-MIDW-MISO,603,2025-10-01T17:31:48.058Z,2025-09-14T11:10:48.208Z,lifecycle,False,,11,2
2025-09-17 12:00:00+00:00,US-MIDW-MISO,593,2025-10-01T17:31:48.058Z,2025-09-14T12:10:53.944Z,lifecycle,False,,12,2
2025-09-17 13:00:00+00:00,US-MIDW-MISO,543,2025-10-01T17:31:48.058Z,2025-09-14T13:10:51.046Z,lifecycle,False,,13,2
2025-09-17 14:00:00+00:00,US-MIDW-MISO,529,2025-10-01T17:31:48.041Z,2025-09-14T14:10:54.084Z,lifecycle,False,,14,2
2025-09-17 15:00:00+00:00,US-MIDW-MISO,534,2025-10-01T17:31:48.069Z,2025-09-14T15:11:52.273Z,lifecycle,False,,15,2
2025-09-17 16:00:00+00:00,US-MIDW-MISO,539,2025-10-01T17:31:48.041Z,2025-09-14T16:11:04.612Z,lifecycle,False,,16,2
2025-09-17 17:00:00+00:00,US-MIDW-MISO,546,2025-10-01T17:31:48.069Z,2025-09-14T17:10:52.625Z,lifecycle,False,,17,2
2025-09-17 18:00:00+00:00,US-MIDW-MISO,546,2025-10-01T17:31:48.041Z,2025-09-14T18:10:15.422Z,lifecycle,False,,18,2
2025-09-17 19:00:00+00:00,US-MIDW-MISO,549,2025-10-01T17:31:48.058Z,2025-09-14T19:11:19.463Z,lifecycle,False,,19,2
2025-09-17 20:00:00+00:00,US-MIDW-MISO,545,2025-10-01T17:31:48.041Z,2025-09-14T20:10:19.705Z,lifecycle,False,,20,2
2025-09-17 21:00:00+00:00,US-MIDW-MISO,541,2025-10-01T17:31:48.041Z,2025-09-14T21:11:06.391Z,lifecycle,False,,21,2
2025-09-17 22:00:00+00:00,US-MIDW-MISO,558,2025-10-05T00:13:52.281Z,2025-09-14T22:11:26.973Z,lifecycle,False,,22,2
2025-09-17 23:00:00+00:00,US-MIDW-MISO,591,2025-10-01T17:31:48.058Z,2025-09-14T23:10:43.215Z,lifecycle,False,,23,2
2025-09-18 00:00:00+00:00,US-MIDW-MISO,607,2025-10-01T17:31:48.041Z,2025-09-15T00:09:52.522Z,lifecycle,False,,0,3
2025-09-18 01:00:00+00:00,US-MIDW-MISO,606,2025-10-01T17:31:48.069Z,2025-09-15T01:11:17.430Z,lifecycle,False,,1,3
2025-09-18 02:00:00+00:00,US-MIDW-MISO,600,2025-10-01T17:31:48.069Z,2025-09-15T02:11:46.152Z,lifecycle,False,,2,3
2025-09-18 03:00:00+00:00,US-MIDW-MISO,595,2025-10-01T17:31:48.069Z,2025-09-15T03:12:54.565Z,lifecycle,False,,3,3
2025-09-18 04:00:00+00:00,US-MIDW-MISO,590,2025-10-01T17:31:48.058Z,2025-09-15T04:12:16.644Z,lifecycle,False,,4,3
2025-09-18 05:00:00+00:00,US-MIDW-MISO,591,2025-10-01T17:31:48.041Z,2025-09-15T05:11:02.311Z,lifecycle,False,,5,3
2025-09-18 06:00:00+00:00,US-MIDW-MISO,583,2025-10-01T17:31:48.058Z,2025-09-15T06:12:15.105Z,lifecycle,False,,6,3
2025-09-18 07:00:00+00:00,US-MIDW-MISO,579,2025-10-01T17:31:48.058Z,2025-09-15T07:10:44.989Z,lifecycle,False,,7,3
2025-09-18 08:00:00+00:00,US-MIDW-MISO,574,2025-10-01T17:31:48.041Z,2025-09-15T08:10:21.650Z,lifecycle,False,,8,3
2025-09-18 09:00:00+00:00,US-MIDW-MISO,580,2025-10-01T17:31:48.041Z,2025-09-15T09:11:04.302Z,lifecycle,False,,9,3
2025-09-18 10:00:00+00:00,US-MIDW-MISO,594,2025-10-01T17:31:48.041Z,2025-09-15T10:10:17.403Z,lifecycle,False,,10,3
2025-09-18 11:00:00+00:00,US-MIDW-MISO,600,2025-10-01T17:31:48.041Z,2025-09-15T11:10:07.776Z,lifecycle,False,,11,3
2025-09-18 12:00:00+00:00,US-MIDW-MISO,589,2025-10-01T17:31:48.069Z,2025-09-15T12:10:32.935Z,lifecycle,False,,12,3
2025-09-18 13:00:00+00:00,US-MIDW-MISO,544,2025-10-01T17:31:48.058Z,2025-09-15T13:11:22.013Z,lifecycle,False,,13,3
2025-09-18 14:00:00+00:00,US-MIDW-MISO,525,2025-10-01T17:31:48.069Z,2025-09-15T14:10:41.900Z,lifecycle,False,,14,3
2025-09-18 15:00:00+00:00,US-MIDW-MISO,535,2025-10-01T17:32:02.689Z,2025-09-15T15:10:31.780Z,lifecycle,False,,15,3
2025-09-18 16:00:00+00:00,US-MIDW-MISO,533,2025-10-01T17:31:48.041Z,2025-09-15T16:10:50.468Z,lifecycle,False,,16,3
2025-09-18 17:00:00+00:00,US-MIDW-MISO,535,2025-10-01T17:31:48.041Z,2025-09-15T17:10:53.836Z,lifecycle,False,,17,3
2025-09-18 18:00:00+00:00,US-MIDW-MISO,537,2025-10-01T17:32:02.689Z,2025-09-15T18:10:36.430Z,lifecycle,False,,18,3
2025-09-18 19:00:00+00:00,US-MIDW-MISO,536,2025-10-01T17:32:02.689Z,2025-09-15T19:11:38.999Z,lifecycle,False,,19,3
2025-09-18 20:00:00+00:00,US-MIDW-MISO,532,2025-10-01T17:32:02.689Z,2025-09-15T20:10:59.945Z,lifecycle,False,,20,3
2025-09-18 21:00:00+00:00,US-MIDW-MISO,536,2025-10-01T17:32:02.689Z,2025-09-15T21:10:25.951Z,lifecycle,False,,21,3
2025-09-18 22:00:00+00:00,US-MIDW-MISO,557,2025-10-05T00:13:52.078Z,2025-09-15T22:10:29.951Z,lifecycle,False,,22,3
2025-09-18 23:00:00+00:00,US-MIDW-MISO,592,2025-10-05T00:14:05.158Z,2025-09-15T23:10:54.566Z,lifecycle,False,,23,3
2025-09-19 00:00:00+00:00,US-MIDW-MISO,605,2025-10-05T00:13:52.281Z,2025-09-16T00:11:19.362Z,lifecycle,False,,0,4
2025-09-19 01:00:00+00:00,US-MIDW-MISO,605,2025-10-01T17:32:02.753Z,2025-09-16T01:11:23.438Z,lifecycle,False,,1,4
2025-09-19 02:00:00+00:00,US-MIDW-MISO,606,2025-10-01T17:31:48.058Z,2025-09-16T02:11:33.659Z,lifecycle,False,,2,4
2025-09-19 03:00:00+00:00,US-MIDW-MISO,609,2025-10-01T17:32:02.753Z,2025-09-16T03:13:28.718Z,lifecycle,False,,3,4
2025-09-19 04:00:00+00:00,US-MIDW-MISO,610,2025-10-01T17:32:02.753Z,2025-09-16T04:12:01.156Z,lifecycle,False,,4,4
2025-09-19 05:00:00+00:00,US-MIDW-MISO,597,2025-10-01T17:32:02.689Z,2025-09-16T05:10:35.473Z,lifecycle,False,,5,4
2025-09-19 06:00:00+00:00,US-MIDW-MISO,584,2025-10-01T17:32:02.753Z,2025-09-16T06:10:39.092Z,lifecycle,False,,6,4
2025-09-19 07:00:00+00:00,US-MIDW-MISO,579,2025-10-01T17:32:02.689Z,2025-09-16T07:10:23.053Z,lifecycle,False,,7,4
2025-09-19 08:00:00+00:00,US-MIDW-MISO,579,2025-10-01T17:32:02.753Z,2025-09-16T08:11:32.615Z,lifecycle,False,,8,4
2025-09-19 09:00:00+00:00,US-MIDW-MISO,591,2025-10-01T17:32:02.689Z,2025-09-16T09:11:00.601Z,lifecycle,False,,9,4
2025-09-19 10:00:00+00:00,US-MIDW-MISO,603,2025-10-01T17:32:02.689Z,2025-09-16T10:10:58.735Z,lifecycle,False,,10,4
2025-09-19 11:00:00+00:00,US-MIDW-MISO,608,2025-10-01T17:32:02.689Z,2025-09-16T11:11:27.283Z,lifecycle,False,,11,4
2025-09-19 12:00:00+00:00,US-MIDW-MISO,599,2025-10-01T17:32:02.787Z,2025-09-16T12:12:30.542Z,lifecycle,False,,12,4
2025-09-19 13:00:00+00:00,US-MIDW-MISO,564,2025-10-01T17:32:02.753Z,2025-09-16T13:13:06.912Z,lifecycle,False,,13,4
2025-09-19 14:00:00+00:00,US-MIDW-MISO,551,2025-10-01T17:32:02.753Z,2025-09-16T14:10:36.724Z,lifecycle,False,,14,4
2025-09-19 15:00:00+00:00,US-MIDW-MISO,550,2025-10-01T17:32:02.689Z,2025-09-16T15:10:31.759Z,lifecycle,False,,15,4
2025-09-19 16:00:00+00:00,US-MIDW-MISO,548,2025-10-01T17:32:02.689Z,2025-09-16T16:10:03.145Z,lifecycle,False,,16,4
2025-09-19 17:00:00+00:00,US-MIDW-MISO,543,2025-10-01T17:32:02.689Z,2025-09-16T17:10:46.399Z,lifecycle,False,,17,4
2025-09-19 18:00:00+00:00,US-MIDW-MISO,542,2025-10-01T17:32:02.787Z,2025-09-16T18:11:17.595Z,lifecycle,False,,18,4
2025-09-19 19:00:00+00:00,US-MIDW-MISO,543,2025-10-01T17:32:02.787Z,2025-09-16T19:11:26.778Z,lifecycle,False,,19,4
2025-09-19 20:00:00+00:00,US-MIDW-MISO,546,2025-10-01T17:32:02.753Z,2025-09-16T20:10:41.504Z,lifecycle,False,,20,4
2025-09-19 21:00:00+00:00,US-MIDW-MISO,547,2025-10-01T17:32:02.787Z,2025-09-16T21:11:15.053Z,lifecycle,False,,21,4
2025-09-19 22:00:00+00:00,US-MIDW-MISO,561,2025-10-01T17:32:02.753Z,2025-09-16T22:10:15.653Z,lifecycle,False,,22,4
2025-09-19 23:00:00+00:00,US-MIDW-MISO,586,2025-10-01T17:32:02.753Z,2025-09-16T23:10:59.399Z,lifecycle,False,,23,4
2025-09-20 00:00:00+00:00,US-MIDW-MISO,597,2025-10-01T17:32:02.689Z,2025-09-17T00:11:32.487Z,lifecycle,False,,0,5
2025-09-20 01:00:00+00:00,US-MIDW-MISO,599,2025-10-01T17:32:02.753Z,2025-09-17T01:11:23.906Z,lifecycle,False,,1,5
2025-09-20 02:00:00+00:00,US-MIDW-MISO,607,2025-10-01T17:32:02.753Z,2025-09-17T02:11:11.827Z,lifecycle,False,,2,5
2025-09-20 03:00:00+00:00,US-MIDW-MISO,616,2025-10-01T17:32:02.787Z,2025-09-17T03:11:39.891Z,lifecycle,False,,3,5
2025-09-20 04:00:00+00:00,US-MIDW-MISO,620,2025-10-01T17:32:02.753Z,2025-09-17T04:11:11.589Z,lifecycle,False,,4,5
